player_id,name,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
11066263,H Pavan Kumar,SPVGG Dragons,6,5,14,84,5,6.14,6,0,6.14,86,Right-arm medium,14,39
29063790,Manoj Kumar,SPVGG Dragons,5,5,8,66,3,6.91,8.2,0,9.5,76,Right-arm fast,11,45
38367746,Santosh Upadhye,SPVGG Dragons,6,6,7,86,2,5.72,12.3,1,11.71,82,Right-arm fast,14.2,53
29061009,Susheel Amingad,SPVGG Dragons,6,6,3,72,1,9.92,24,0,39.67,119,Right-arm fast,12,35
28007361,Yogesh Dhariyal,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
28640126,Adi,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
29046786,Kush Coshic,SPVGG Dragons,5,5,9,83,5,7.01,9.2,1,10.78,97,Right-arm fast,13.5,44
31510876,Keshav Rao,SPVGG Dragons,4,3,2,28,2,8.14,14,0,19,38,Right-arm medium,4.4,14
41959501,Sriram Karanam,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Left-arm fast,0,0
28007346,Allen Cutinha,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
38352714,Suyog Vaidya,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
29718658,Shiva,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
14454653,Riswan,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm fast,0,0
1173568,Anshul,SPVGG Dragons,5,5,3,62,1,7.84,20.7,1,27,81,Right-arm fast,10.2,32
38351661,Sumit Agarwal,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
744616,Navin Dhamecha,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
2302435,Abhinav,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
38541684,Lavnish Sharma,SPVGG Dragons,0,0,0,0,0,0,0,0,0,0,Right-arm medium,0,0
